time,volume,close,high,low,open
1586347200000,51.0673968744,7276.84,7340,7230,7296.06
1586350800000,65.30353349,7220.9,7305.93,7201.69,7278.08
1586354400000,59.4066770328,7266.47,7270.69,7220.54,7220.54
1586358000000,40.45853589,7276.84,7300,7257.9,7270.07
1586361600000,63.6665004386,7323.78,7332.48,7250.84,7276.84
1586365200000,26.8586681791,7309.39,7348.7,7294.15,7325.13
1586368800000,69.9017494626,7319.5,7336.93,7290.36,7309.35
1586372400000,567.5043129549,7295,7334.99,7262.44,7321.5
1586376000000,175.3080190505,7314.28,7359.17,7295,7295
1586379600000,56.5147085046,7319.3,7357.84,7293.73,7316.88
1586383200000,33.5252935684,7359.38,7374.99,7312.82,7321.44
1586386800000,36.816180089,7359.51,7387.44,7340,7360.15
1586390400000,33.9799743127,7342,7370.8,7326.09,7360.74
1586394000000,53.4789640623,7312.34,7350,7292.85,7348.66
1586397600000,26.08731966,7320.28,7326.66,7297.66,7313.72
1586401200000,90.32586522,7288,7320,7264.21,7320
1586404800000,69.2035859635,7290.87,7298.7,7240,7288
1586408400000,34.3143895573,7309.31,7309.31,7272.35,7290.87
1586412000000,21.4234834538,7317.59,7322.8,7294.12,7308.46
1586415600000,32.6631580422,7330.33,7336.51,7287.64,7318.19
1586419200000,43.6533978901,7329.58,7349,7312.6,7330.83
1586422800000,39.9316334817,7290.48,7329.53,7290,7329.53
1586426400000,21.6975335509,7310,7315.52,7279.66,7291.87
1586430000000,198.4004911777,7191.35,7326.53,7150,7310
1586433600000,674.0010191144,7304.92,7310,7130,7187.01
1586437200000,193.7077682198,7330.56,7341.28,7281.84,7305.41
1586440800000,94.9055564171,7322,7350,7289.15,7332.12
1586444400000,66.40674385,7283.84,7325.96,7250,7325
1586448000000,61.6954488539,7283.19,7302.51,7267.74,7282.79
1586451600000,18.5137802437,7296.64,7311.99,7273.52,7283.05
1586455200000,35.6946807811,7255,7299.71,7232,7299.71
1586458800000,11.0752781351,7261.15,7275,7244.37,7254.77
1586462400000,18.0758033655,7294.73,7305,7243.88,7264.74
1586466000000,6.888759215,7310,7310,7268.84,7297.74
